field_name,role,family,codebook_group,present_in_current_historical_panel,historical_panel_requirement,forecast_scaffold_requirement,standardized_model_input_requirement,fixed_slow_area_asset_requirement,data_type,format_or_allowed_values,description,statistic_or_measure,notes
area_id,canonical_key,,,derived,derived from admin_code,derived from admin_code,required,required,string,Canonical IPCCH area identifier; equals admin_code in current assets.,,,Canonical identifier for the unified IPCCH contract.
AEZ_32000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 32000,AEZ code indicator/share,
AEZ_34000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 34000,AEZ code indicator/share,
AEZ_36000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 36000,AEZ code indicator/share,
AEZ_38000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 38000,AEZ code indicator/share,
AEZ_42000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 42000,AEZ code indicator/share,
AEZ_7000,fixed_slow_feature,aez,"04 Agriculture, AEZ, and masks",yes,source-dependent,not expected,optional feature column before downstream feature engineering,required when using fixed/slow feature join,numeric,,Indicator or share for FAO/IIASA agro-ecological zone code 7000,AEZ code indicator/share,
CC,slow_or_country_time_feature,10_demographic_socioeconomic_and_macro,"10 Demographic, socioeconomic, and macro",yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Control of Corruptions percentile, source from world bank",,
CPI,slow_or_country_time_feature,10_demographic_socioeconomic_and_macro,"10 Demographic, socioeconomic, and macro",yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,"Consumer Price Index, source from world bank",,
EVI_mean,monthly_dynamic_feature,06_remote_sensing_vegetation_and_nightlights,06 Remote sensing vegetation and nightlights,yes,source-dependent,not expected,optional feature column before downstream feature engineering,not expected,numeric,,Enhanced Vegetation Index; mean. Aggregated first on month then on zone.,Mean,
